argument,score
Disarming all states makes them vulnerable when a corrupt state or non-state actor does not play by the rules.,0.706796537
Disclaimer: This is a difficult thing to dispute on a personal level. We should maintain Racial Profiling because it sometimes streamlines investigative resources.,0.237768232
Dissuading the sick from traditional medicine is dangerous.,0.68561856
Discrimination should never be an option in our society,0.031723517
"Discrimination still exists, and affirmative action helps combat it.",0.757892427
Diseases can be cured with cells created for embryonic stem cell research.,0.854076684
"Disease can only be solved by research, so it may be necessary to research embryos to achieve this.",0.773680172
Disruption caused by a change of placement in foster care creates long-term difficulties for these children's ability to build a stable and healthy personal relationship with others.,0.999698571
Divorce in polygamous relationships would be more complex and costly.,0.850600932
"Do mothers stay at home, are they currently subsidised? If not, what makes a father so special?",0.000994233
Do we really need more parties? The need for a multi-party system is completely superfluous and unnecessary.,0.002251149
Doctor vows to do no harm in assisted suicide,0.772547619
Something like this will destroy the economy and make people unemployed,0.881306236
Dollars wasted on space exploration are better spent elsewhere.,0.007255411
"Donated organs could be considered a commodity and, given this definition, there should be no barrier to trade in them; it could also make more organs available for transplantation.",0.604258368
"Don't ban it, regulate it so it's safer for those who sign up to this deal",0.897835074
Don't ban whaling as it creates many jobs,0.152703543
do not create a platform for the poor to sell part of their bodies to help the rich. No poor person could afford to buy and no rich person would be desperate enough to sell. This harms the poor twice over.,0.172709808
"Don't let anyone fool you with talk of deterrence, and so-called nuclear weapons of peace are used to kill, that's their only purpose. And nuclear weapons are made to kill millions! They are the purest evil.",0.267772427
Driverless cars would make the lives of people who are medically incapable much easier because they would not have to rely on others to transport them.,0.922278329
"Drivers are often distracted, and autonomous vehicles can take the wheel and prevent the car from getting into an accident caused by a distracted driver.",0.526722471
"Due to a birth defect or accident, minors should, if at all, have access to cosmetic surgery just to feel normal.",0.694839522
"Because of the discrimination and racism that still exists today, affirmative action is needed for people who deserve the job or acceptance in college; without it, many are rejected on the grounds of race, even if they are qualified.",0.952115387
"Due to overpopulation and climate change, and the lack of action by humans, we will need nuclear weapons to get rid of surplus humans, to allow the planet to restart hard.",0.036122885
"Due to the patriarchal structure that already exists, polygamy often harms women more than men because they are more likely to be socially or religiously forced into a relationship. To prevent this coercion, it should not be legal.",0.853956215
"Since it is advantageous to strike first with a nuclear weapon in times of war, even small conflicts can escalate into conflicts that endanger the world.",0.900335033
"Due to the demand for organs, there is a high possibility of abuse of trade.",0.121477317
"Due to the history of abuse at this base, it should be closed.",0.057097809
"Due to the widespread criticism of torture, Guantanamo Bay should not be closed, but measures should be taken to reintegrate the detainee into society.",0.849360905
"Due to the student's obligations, it is sometimes difficult to get a job, we have to help them pay their credit so that they do not leave school.",0.012595113
"With the rise of the online medium and the decline of the print medium, journalism has recently struggled much more economically, and subsidies will pull it out of the doldrums.",0.93086064
"Under an austerity regime, everyone, including the poor, has to pay more tax.",0.107393268
"In times of economic downturn, it has been shown that the best solution is to find your own way out of the crisis, while drastically reducing investment.",0.681526546
Every species must be considered important because it plays a role in the balance of the planet.,0.014014205
Each case has different circumstances and certain things must be taken into account for everyone. Legal activism allows the court to take into account the circumstances of each individual crime.,0.971133078
Every individual is born of one sex and must accept it. Legalising gender reassignment is contrary to the partnership and its principle.,0.001209655
Every individual can freely express himself against the system without harming anyone else. Freedom of expression should not be prohibited in any way.,0.991906538
Each individual must be free to express his or her opinion without harming another.,0.899364454
Every individual must have the right to legalise the gender with which he or she identifies.,0.029791001
Everyone has the right to decide whether they want to vote or not. Forcing people to do something is exactly the opposite of what this country is supposed to be about.,0.99971917
Everyone has the right to express his or her opinion as it appears.,0.803407154
"Every person or institution has its innovation, so they must own the income they generate, and there must be intellectual property rights.",0.952777579
Making it easier for someone to suffer should not be a criminal offence.,0.161726565
Eating fast food once a week increased the risk of dying from coronary heart disease by 20 per cent.,0.985587571
Eating in Green Belt Country: Ruined Houses in the Countryside,0.001710495
Economic sanctions can ensure the material and psychological justice that is a prerequisite for restorative justice.,0.782977717
Economic sanctions do nothing but harm vulnerable members of society and prevent their access to food and medicine.,0.966082708
Economic sanctions affect poor people more than the state,0.999904485
Economic sanctions affect a country's citizens: factory workers and others who manufacture a product they produce are the unintended targets of sanctions.,0.710063475
Economic sanctions affect the poor more than the tyrant,0.950821616
"Economic sanctions affect the poorest in the affected country, and those at the top are not feeling the effects",0.89586279
"Economic sanctions affect the worker of the sanctioned country, not the leader",0.986468728
Economic sanctions allow the country to curb bad behavior just before a war.,0.991293702
"Economic sanctions always punish the innocent people of the country, not the repressive regime.",0.979167303
Economic sanctions send a clear message to the foreign government that their activities will not be tolerated and that their economies and populations will be punished until they bring about change.,0.846069753
Economic sanctions are a crucial way to send a message without military action.,0.919471158
"Economic sanctions, along with war, are a softer way to force other nations to do something a certain way",0.979814099
"Economic sanctions are a good thing; we have to look after our own people first, and economic sanctions can do that.",0.937717847
Economic sanctions are a good way for a government to show disapproval without resorting to violence.,0.990358068
Economic sanctions are a good way to make something happen in a target area,0.848849188
Economic sanctions are a good way to achieve your country's goal and to say something without violence.,0.999944676
Economic sanctions are a good way of putting pressure on another country to comply with the agreements we have already made with them.,0.884434294
Economic sanctions are a great way for U to use the size and scope of the U to gain political advantage and keep the global economy moving.,0.063016793
Economic sanctions are a great way to put pressure on a country without using military force.,0.999657364
Economic sanctions are a non-violent way to change an unethical or immoral government practice,0.972623382
Economic sanctions are a non-violent sanction,0.39051765
Economic sanctions are a peaceful and effective way to promote diplomacy and influence change in a country that commits unethical acts without resorting to violence.,0.86294088
"Economic sanctions are a threat that does not lead to government action and often harms the populations of both countries rather than those in power, so we should end them.",0.882288852
Economic sanctions are a viable and peaceful alternative to war,0.999101442
"Economic sanctions are a vital peaceful method of deterring, reversing and punishing behaviour that, for example, violates international treaties or international human rights.",0.932946624
Economic sanctions are a way to enforce sanctions against a country without the risk of military intervention.,0.893684327
Economic sanctions are a widespread and effective political strategy.,0.861819747
"Economic sanctions are directed against the government of the nation, but it is the citizen who suffers. Sanctions can lead to thousands being killed, especially the young and frail. This is not the desired outcome.",0.705149979
Economic sanctions are an effective alternative to military action,0.976226674
Economic sanctions are an effective deterrent to the misdeeds of otherwise volatile governments.,0.924919037
Economic sanctions are an effective deterrent against a country's bad or dangerous behavior,0.959694944
Economic sanctions are an effective tool and should be kept in mind.,0.147657611
Economic sanctions are an effective way to get the country to comply without military force.,0.999969858
Economic sanctions are an effective way to limit the ability of corrupt governments,0.999980139
Economic sanctions are an effective means of exerting pressure on countries that do wrong,0.926125032
Economic sanctions are an effective means of signalling that human rights violations will not be tolerated.,0.843502335
Economic sanctions are an excellent alternative to violence when it comes to condemning politics.,0.865061618
Economic sanctions are an important and powerful weapon that can be used against those who try to exploit them.,0.036046348
Economic sanctions are an important and valuable instrument in international relations with the country. They are a diplomatic option that can be used to solve problems without military conflicts.,0.865016946
Economic sanctions are an ineffective way of implementing foreign policy.,0.689898058
"Economic sanctions are economic and financial sanctions imposed by one or more countries on a targeted, self-governing state, group or individual in need of assistance.",9.33e-06
Economic sanctions are controversial and primarily punish innocent and poor people who live every day to get something to eat.,0.93121322
Economic sanctions are cruel and we should be able to negotiate,0.700706145
Economic sanctions are cruel to the people of the country and do not change the actions of the leadership.,0.477989713
Economic sanctions are dangerous for the people and the economy of the country against which they are being used. They can completely destroy the economy and plunge millions of people into profound poverty.,0.962902307
Economic sanctions aimed at curbing human rights abusers and their collaborators,0.459524507
Economic Sanctions to Destroy Dictator and Human Rights Violators,0.622204823
Economic sanctions are effective and are a response to other nations that do not use military force.,0.943587025
Economic sanctions are effective in bringing about political and social change or uprisings by restricting imports and exports that harm people.,0.896050355
"Economic sanctions are effective in certain situations, helping to deter future wrongdoing and also helping to bring the country back into line.",0.72160254
Economic sanctions are much better than the use of military force,0.998963129
Economic sanctions are preferred because they can be a peaceful alternative to military action.,0.872918835
Economic sanctions are immoral and harm the people they are supposed to protect.,0.969870963
Economic sanctions are ineffective; they do not affect the lives of those in power who will continue to shape rules and regulations as they see fit.,0.789078565
Economic sanctions are more destructive than war,0.75200799
Economic sanctions are necessary to stop unfair trade.,0.432515039
Economic sanctions are sometimes necessary to restrict trade,0.332633225
Economic sanctions are necessary to punish countries that do not comply with international rules.,0.926656302
Economic sanctions are not a practical means to any end; they restrict innovation and efficiency and benefit no one.,0.980545126
Economic sanctions are not effective.,0.43651753
Economic sanctions are often a proportionate punishment,0.323741356
"Economic sanctions are often poorly targeted, so that the poor and affluent often suffer, while the ruling class, which has imposed sanctions to change its behavior, is able to deal with them relatively well.",0.858975696
Economic sanctions are often the only way to force a country to comply with international law.,0.620453864
Economic sanctions are one of the most effective ways to motivate unscrupulous leaders to change.,0.94615663
Economic sanctions are taken only as a last resort and try to achieve a positive outcome,0.68561856
Economic sanctions are outdated and create more problems.,0.768217076
Economic sanctions are obsolete and have no impact.,0.069584455
Economic sanctions are preferable to the use of military force to force hostile countries to comply with international law and conventions.,0.221166136
Economic sanctions are sometimes necessary for political reasons.,0.535406201
Economic sanctions are sometimes the only thing a leader will react to,0.79210617
Economic sanctions are sometimes the only way to get a despotic nation to agree to the world's demands.,0.957114291
Economic sanctions are sometimes the only way to get a regime to make meaningful changes.,0.99968552
Economic sanctions are the best way to implement the current plan,0.002097409
Economic sanctions are the only means by which a country can be forced to act appropriately; ending them would be harmful,0.950768733
Economic sanctions are the only peaceful means of changing the behavior of an aggressive regime.,0.964850497
Economic sanctions are the only thing that makes a country's leader change his ways,0.530844189
Economic sanctions are the only thing that works for a country.,0.358954746
"Economic sanctions are the only way to warn a country that we are serious; by harming its economy, we can influence those in power to end their pernicious path.",0.902081594
Economic sanctions are the only way to demonstrate a country's stance against a policy measure deemed inappropriate or egregious.,0.860265014
"Economic sanctions are the only way to force other countries to abandon certain harmful actions, by affecting a larger number of people who are simply governed.",0.371090889
"Economic sanctions are unethical for the economy of a smaller, underdeveloped country.",0.887244134
Economic sanctions are unfair to the county concerned and hit both sides hard.,0.958362797
"Economic sanctions are unjust in a country where they have the right to impose penalties based solely on their own whims, which is not fair or just.",0.866515646
Economic sanctions are unnecessary because another method can only be effective without interrupting people's supplies every day.,0.248974375
Economic sanctions are used to harass other nations into acting in their own interests by harming innocent citizens.,0.622204823
Economic sanctions are useful to deter unacceptable behavior by other governments.,0.999929754
Economic sanctions are useful to stop bad actions.,0.150131144
Economic sanctions are very effective in dealing with countries where there are many human rights violations.,0.886369452
Economic sanctions can have a detrimental effect on the poorest in a society that leads to death.,0.999915367
Economic sanctions can help deter deadly threat to our nation,0.988137465
Economic sanctions can be a good tool in the fight against repressive regimes.,0.98800342
Economic sanctions can be one way to end the problem.,0.200786024
Economic sanctions may be the only way to enforce international law.,0.887078453
Economic sanctions can be used by the recipient government to support its argument that the other country is bad.,0.175540999
Economic sanctions can be used to boost humanitarian efforts.,0.841382905
Economic sanctions can be very harmful,0.084538081
Economic sanctions can be very effective in bringing about social change,0.999976241
Economic sanctions can cause difficulties and tensions between countries,0.881082023
Economic sanctions can cause hardship and create unnecessary problems.,0.910741953
"Economic sanctions can create hostility, because the country is sanctioned with a well that harbors a negative global economic problem.",0.889880373
Economic sanctions can end up hurting the poorest in society.,0.915766779
Economic sanctions can jeopardise the relationship between a country subject to economic sanctions,0.462207144
"Economic sanctions can force a country to change its actions, which are seen as negative and endanger other countries and its own people.",0.455337778
Economic sanctions can have a devastating impact on the local population,0.984211204
Economic sanctions can have a lasting impact on the population of the sanctioned country.,0.717294075
Economic sanctions can help keep the financial situation under control,0.345950798
Economic sanctions can help force the country to treat ordinary people in this country better.,0.979646965
Economic sanctions can help to stop a country or deter a country from negative actions and behaviour.,0.954739271
Economic sanctions can help unethical country do bad things,0.364079517
Economic sanctions can damage international trade.,0.976226674
"Economic sanctions can hurt other countries, and they usually hurt the poor, not the rich.",0.903702896
Economic sanctions can make it harder for other countries to increase their weapons.,0.031648839
Economic sanctions can prove to be an effective deterrent to aggressive nations.,0.96372322
"Economic sanctions can put pressure on the regime in power, reduce its ability to buy oppressive weapons and its ability to keep its economy healthy, and can be effective in the right circumstances.",0.91257727
"Economic sanctions burden the government of a country that has violated human rights, dangerous acts, etc., and the only thing the government can deal with is financial hardship.",0.77561059
